iter	Passed	Remaining
404	6858	10076
405	6874	10057
406	6890	10039
407	6905	10020
408	6921	10000
409	6937	9983
410	6952	9964
411	6968	9944
412	6983	9925
413	6998	9906
414	7013	9886
415	7028	9866
416	7043	9848
417	7059	9829
418	7075	9810
419	7090	9791
420	7106	9772
421	7121	9754
422	7137	9735
423	7152	9716
424	7168	9699
425	7184	9680
426	7200	9662
427	7215	9643
428	7231	9625
429	7247	9606
430	7263	9588
431	7279	9571
432	7296	9554
433	7313	9538
434	7330	9520
435	7346	9502
436	7363	9486
437	7378	9467
438	7394	9449
439	7409	9429
440	7423	9410
441	7438	9391
442	7453	9372
443	7469	9354
444	7485	9335
445	7501	9317
446	7516	9299
447	7531	9280
448	7546	9261
449	7562	9242
450	7579	9225
451	7594	9207
452	7609	9188
453	7623	9168
454	7638	9148
455	7652	9129
456	7667	9110
457	7696	9108
458	7718	9097
459	7744	9091
460	7761	9075
461	7777	9056
462	7791	9036
463	7806	9017
464	7820	8997
465	7833	8977
466	7848	8957
467	7862	8938
468	7878	8920
469	7893	8901
470	7908	8882
471	7923	8863
472	7937	8843
473	7951	8823
474	7965	8804
475	7980	8785
476	7996	8767
477	8011	8748
478	8026	8729
479	8041	8711
480	8056	8692
481	8072	8675
482	8088	8657
483	8103	8638
484	8118	8620
485	8132	8601
486	8148	8583
487	8165	8567
488	8179	8547
489	8195	8529
490	8209	8510
491	8224	8491
492	8239	8473
493	8254	8454
494	8269	8436
495	8284	8418
496	8305	8405
497	8322	8389
498	8338	8371
499	8353	8353
500	8370	8336
501	8385	8319
502	8401	8301
503	8417	8283
504	8432	8265
505	8447	8247
506	8463	8229
507	8477	8210
508	8494	8194
509	8510	8177
510	8527	8160
511	8544	8144
512	8561	8127
513	8578	8110
514	8593	8092
515	8608	8074
516	8622	8055
517	8637	8036
518	8651	8018
519	8666	7999
520	8681	7981
521	8695	7962
522	8710	7944
523	8725	7925
524	8739	7907
525	8754	7889
526	8770	7871
527	8785	7853
528	8799	7834
529	8814	7816
530	8829	7798
531	8844	7780
532	8860	7762
533	8875	7745
534	8890	7727
535	8906	7709
536	8921	7691
537	8936	7674
538	8951	7656
539	8967	7638
540	8983	7621
541	8999	7604
542	9032	7601
543	9057	7592
544	9073	7575
545	9089	7558
546	9106	7541
547	9122	7524
548	9138	7507
549	9155	7490
550	9171	7473
551	9187	7456
552	9202	7438
553	9216	7419
554	9230	7401
555	9244	7382
556	9259	7364
557	9272	7345
558	9287	7326
559	9301	7308
560	9315	7289
561	9331	7272
562	9346	7254
563	9360	7235
564	9375	7218
565	9389	7199
566	9403	7181
567	9418	7163
568	9432	7144
569	9447	7126
570	9461	7108
571	9475	7089
572	9489	7071
573	9504	7053
574	9520	7036
575	9535	7019
576	9550	7001
577	9565	6983
578	9580	6965
579	9594	6947
580	9609	6929
581	9623	6911
582	9640	6895
583	9655	6877
584	9670	6860
585	9685	6842
586	9699	6824
587	9714	6806
588	9729	6789
589	9743	6771
590	9758	6753
591	9774	6736
592	9789	6719
593	9804	6701
594	9819	6683
595	9833	6665
596	9849	6648
597	9864	6631
598	9878	6613
599	9893	6595
600	9907	6577
601	9922	6560
602	9937	6542
603	9952	6524
604	9968	6508
605	9982	6490
606	9997	6472
607	10012	6455
608	10028	6438
609	10044	6421
610	10060	6404
611	10075	6387
612	10090	6370
613	10105	6353
614	10120	6335
615	10135	6318
616	10150	6300
617	10165	6283
618	10180	6266
619	10197	6250
620	10214	6234
621	10229	6216
622	10244	6199
623	10259	6182
624	10274	6164
625	10289	6147
626	10303	6129
627	10318	6112
628	10333	6094
629	10363	6086
630	10382	6071
631	10400	6056
632	10417	6039
633	10432	6022
634	10447	6005
635	10462	5987
636	10476	5970
637	10493	5953
638	10508	5936
639	10523	5919
640	10538	5902
641	10555	5886
642	10570	5868
643	10586	5852
644	10603	5835
645	10618	5818
646	10634	5801
647	10649	5784
648	10664	5767
