iter	Logloss
0	0.6653244326
1	0.6389238054
2	0.6143446607
3	0.5899810684
4	0.5659390305
5	0.543413789
6	0.5229083237
7	0.5025439856
8	0.483609991
9	0.4643245712
10	0.4465861393
11	0.4286277608
12	0.4134260542
13	0.3979734276
14	0.3842436471
15	0.3713714982
16	0.358912589
17	0.3468768796
18	0.3352325825
19	0.3242192303
20	0.3137494628
21	0.3041038828
22	0.2939740314
23	0.2851455991
24	0.2768428555
25	0.2689091959
26	0.2613065901
27	0.2539881897
28	0.2470277607
29	0.2395351522
30	0.232670033
31	0.2265495956
32	0.2197971983
33	0.2142278153
34	0.2088217408
35	0.2037590867
36	0.1990327999
37	0.1944326972
38	0.1892706685
39	0.1851669253
40	0.1808593231
41	0.1770211046
42	0.1732888147
43	0.1695096169
44	0.1655041017
45	0.1617324749
46	0.1582276666
47	0.1554248358
48	0.1526941144
49	0.1501047909
50	0.1471916545
51	0.1444494281
52	0.1422596778
53	0.1395047153
54	0.1372982027
55	0.1349663514
56	0.1325129747
57	0.1307056745
58	0.1287543255
59	0.126870144
60	0.1246676758
61	0.1231600207
62	0.1217144094
63	0.1203485673
64	0.1187234899
65	0.1169695814
66	0.1156025925
67	0.1142053251
68	0.1128849422
69	0.1117992197
70	0.110257979
71	0.1090597894
72	0.1081793772
73	0.107305933
74	0.1058645664
75	0.1047601927
76	0.1038548242
77	0.1024423753
78	0.1017229488
79	0.1009262198
80	0.100248895
81	0.09945742793
82	0.09843835516
83	0.09766747228
84	0.09710113001
85	0.09625223981
86	0.09544292795
87	0.09475196321
88	0.09419575349
89	0.0933638217
90	0.09265921685
91	0.09211752041
92	0.09144354321
93	0.09080849032
94	0.09023579521
95	0.08965113265
96	0.0893048376
97	0.08890723379
98	0.08849492974
99	0.08811413814
100	0.08742502936
101	0.08706197668
102	0.08665663291
103	0.08622812799
104	0.08575089263
105	0.08540013965
106	0.08504907983
107	0.08471008432
108	0.08419191983
109	0.08371148171
110	0.08345009383
111	0.08278169003
112	0.08245942739
113	0.08222483776
114	0.08179517583
115	0.08152341423
116	0.0812560355
117	0.08104841693
118	0.08081251136
119	0.08054999839
120	0.08030229655
121	0.07992841875
122	0.0796860635
123	0.07937866638
124	0.0791299818
125	0.0789175529
126	0.07870850938
127	0.07852814873
128	0.07829287872
129	0.07806527332
130	0.07785983714
131	0.07770009415
132	0.07749313714
133	0.07730217373
134	0.07712285721
135	0.07694222169
136	0.07676065622
137	0.07656360331
138	0.07639134758
139	0.07619593381
140	0.07601113587
141	0.07585297001
142	0.07571560163
143	0.07546783337
144	0.07528702257
145	0.0751131078
146	0.07495588159
147	0.07481089345
148	0.07466249239
149	0.07451842456
150	0.07437907619
151	0.0742368792
152	0.07407661297
153	0.0739448742
154	0.07381371674
155	0.07368011804
156	0.07352652493
157	0.07318564551
158	0.07305052946
159	0.07293036279
160	0.07280016897
161	0.07267952048
162	0.07255537688
163	0.07243801913
164	0.07229976259
165	0.07218288942
166	0.07206801332
167	0.07195630865
168	0.07184350586
169	0.07174680872
170	0.07163437525
171	0.07150262232
172	0.07137247601
173	0.07128122716
174	0.07117396084
175	0.07104875714
176	0.07096001418
177	0.07085322823
178	0.07075137721
179	0.07064579188
180	0.07053771855
181	0.07042541937
182	0.07032179784
183	0.07020621472
184	0.07012141607
185	0.07001430852
186	0.06989307754
187	0.06981669786
188	0.06971536109
189	0.06964044716
190	0.06954327176
191	0.06942833168
192	0.06934891761
193	0.06924759089
194	0.06913728301
195	0.06902523558
196	0.06894252256
197	0.06884729332
198	0.06877318027
199	0.06865991103
200	0.06857059055
201	0.06845966435
202	0.06834786849
203	0.06825602924
204	0.06815900423
205	0.06805181856
206	0.06794430188
207	0.06785040724
208	0.06775451
209	0.06764716005
210	0.06754517017
211	0.06744640007
212	0.06736023747
213	0.06724754909
214	0.06714368146
215	0.06706361422
216	0.06697435598
217	0.06689189545
218	0.06680464678
219	0.06670095842
220	0.06659091689
221	0.06651113374
222	0.06642478721
223	0.06631721555
224	0.06621266833
225	0.06611073912
226	0.06603411057
227	0.0659648759
228	0.06588224312
229	0.06579813823
230	0.06569344166
231	0.06563074355
232	0.06553611335
233	0.06543899475
234	0.06534376071
235	0.06524533631
236	0.06516685835
237	0.06508553151
238	0.06499252357
239	0.0649008438
240	0.06480066578
241	0.06470134111
242	0.06462347142
243	0.06454819518
244	0.06445297027
245	0.06437251696
246	0.06429082294
247	0.06420967592
248	0.06412442976
249	0.06402613272
250	0.06393430416
251	0.06385096563
252	0.0637923476
253	0.06371553529
254	0.06365378713
255	0.0635827222
256	0.06348806985
257	0.06341958619
258	0.06334685211
259	0.06327154182
260	0.0631852446
261	0.06309907653
262	0.06302435901
263	0.06294768443
264	0.06285428604
265	0.06278098238
266	0.06270074957
267	0.06262086309
268	0.06254028488
269	0.06246926761
270	0.06239214656
271	0.06231438346
272	0.06224089034
273	0.06216088244
274	0.06208465503
275	0.06200444286
276	0.06190737774
277	0.06182320554
278	0.06173388115
279	0.06165908994
280	0.06158454985
281	0.06149211099
282	0.0614125679
283	0.06132104801
284	0.06123703034
285	0.06115915366
286	0.06106943293
287	0.06098010344
288	0.06090865844
289	0.06082866871
290	0.06075705069
291	0.06066361134
292	0.06059718469
293	0.06050496524
294	0.0604016768
295	0.06032010367
296	0.06023474154
297	0.0601451195
298	0.06005476887
299	0.05997082807
300	0.05991536102
301	0.05982930628
302	0.05974449446
303	0.05967549485
304	0.0595866254
305	0.05950045845
306	0.0594168902
307	0.05934521733
308	0.05926311882
309	0.0591825471
310	0.05910957673
311	0.0590385803
312	0.0589700959
313	0.05889393298
314	0.05881243773
315	0.05873019315
316	0.05863824474
317	0.05855583947
318	0.05848302188
319	0.05839168652
320	0.05832053488
321	0.05824017361
322	0.05816551794
323	0.0580904583
324	0.05800606197
325	0.0579401532
326	0.05785731575
327	0.05778638116
328	0.05771429991
329	0.05766051723
330	0.05759138416
331	0.05752835433
332	0.05744429581
333	0.05736172904
334	0.057279528
335	0.05720288294
336	0.05713305649
337	0.0570478028
338	0.0569670312
339	0.0569047716
